Lab,Num,INF nwc
BujnickiPreExp,2,0.408
BujnickiPreExp,1,0.408
BujnickiPreExp,4,0.471
BujnickiPreExp,3,0.408
DasPreExp,6,0.548
BujnickiPreExp,5,0.577
ChenPostExp,6,0.354
ChenPostExp,2,0.000
DasPreExp,9,0.816
ChenPostExp,5,0.354
DasPreExp,8,0.612
DasPostExp,10,0.612
DasPreExp,5,0.612
ChenPostExp,7,0.354
BujnickiPreExp,6,0.707
ChenPostExp,9,0.000
DingPostExp,1,0.000
DasPostExp,7,0.707
DasPreExp,2,0.707
BujnickiPostExp,5,0.408
DasPostExp,2,0.707
DasPreExp,7,0.612
DasPostExp,5,0.612
DingPostExp,8,0.000
DingPostExp,2,0.000
DasPostExp,8,0.289
DasPreExp,3,0.289
DasPostExp,6,0.707
DasPreExp,1,0.707
DingPostExp,9,0.000
BujnickiPostExp,4,0.408
DasPostExp,4,0.707
DingPreExp,2,0.000
DingPostExp,5,0.000
DingPreExp,3,0.000
DingPreExp,1,0.000
DasPostExp,1,0.548
BujnickiPostExp,2,0.000
BujnickiPostExp,1,0.707
DasPostExp,3,0.612
DingPreExp,7,0.000
DingPostExp,3,0.000
DingPreExp,4,0.000
AdamiakPostExp,2,0.500
ChenPostExp,8,0.408
DingPostExp,10,0.000
AdamiakPostExp,1,0.707
DingPostExp,7,0.000
DingPreExp,6,0.000
ChenPostExp,4,0.471
BujnickiPreExp,7,-1.000
DingPreExp,8,0.000
DasPostExp,9,0.289
DasPreExp,10,0.289
DingPostExp,4,0.000
ChenPostExp,3,0.612
AdamiakPreExp,1,0.707
AdamiakPreExp,2,0.471
BujnickiPostExp,3,0.408
ChenPostExp,10,0.000
DingPreExp,5,0.000
DasPreExp,4,0.612
DingPostExp,6,-1.000
ChenPostExp,1,0.250
