metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.3555131253138907,0.00394065336520008,0.48647547429500504,4.5868734971381236e-05,0.2954188326548934,0.0006484853929345446,64
DI_all,False,0.8049558642544903,1.094436974743672e-15,0.7964968517458499,3.563734975382604e-15,0.616111387369468,6.996609184794952e-13,64
INF_all,True,0.6387265650338132,1.3549950078727057e-08,0.6716214834975236,1.241230422573788e-09,0.49201296371603126,1.129950593646826e-08,64
INF_nwc,True,0.4415756319972438,0.00025956729763446215,0.5813283888086902,4.730474289795857e-07,0.40262251494251156,1.0249498139943533e-05,64
INF_stacking,True,0.6157411441100791,6.122992255846961e-08,0.6927287482704945,2.2685169114794223e-10,0.5170987067745195,1.912802922441627e-09,64
INF_wc,True,0.09624002337183314,0.44934694975699274,0.034056970295271924,0.789343380508767,0.021024114033758232,0.8145221375825786,64
mcq,False,0.31538295340668854,0.011133455487233813,0.3763423629527295,0.002177180697423511,0.2527992742111752,0.003241734175196414,64
P-value,False,0.18517444132733724,0.14294803287899754,0.6731467181445356,1.1028841555694953e-09,0.4982580866232417,6.5982872304113e-09,64
RMSD,False,0.7489008844611453,1.1100067948179903e-12,0.6738637664567829,1.0430319616987243e-09,0.4987568373943312,6.173919647403268e-09,64
TM-score,True,0.7134542083911362,3.69289354652191e-11,0.6233909492718442,3.757137380776818e-08,0.47312610491267854,4.14701535225265e-08,64
lDDT,True,0.8259541157049165,4.4739572872066724e-17,0.8876116385176988,1.512218788669783e-22,0.7438978401674438,5.0303379358470086e-18,64
