metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.08352698543340334,0.6083595284703903,-0.13740674785874316,0.3978314918875048,-0.10838935255942692,0.3273842415785916,40
DI_all,False,0.7454316219897249,3.427022555744288e-08,0.7778611632270169,3.510602222988255e-09,0.594871794871795,6.441901947752256e-08,40
INF_all,True,0.36943846771407746,0.018970027172942345,0.3466716739307636,0.028417065423779097,0.24277501712430985,0.02763042901376606,40
INF_nwc,True,-0.22375316239068732,0.16515675957251147,-0.2586666281223083,0.10704067826116569,-0.1655530431412315,0.16835357939082052,40
INF_stacking,True,0.07500045754464747,0.6455507813234538,0.11384327860686783,0.48426722992548943,0.06318610570033137,0.5678128148599113,40
INF_wc,True,0.598169368292198,4.573697423578354e-05,0.5131140895153977,0.0007098651230340681,0.36036304639954747,0.0010994160521898037,40
mcq,False,0.47172023092462,0.002120576661801458,0.46247654784240155,0.00265926422916541,0.31538461538461543,0.0041549141207950615,40
P-value,False,0.42459336401281267,0.006319012727664237,0.8174651490953423,1.2215394575802677e-10,0.6322712232633237,1.0939731836650462e-08,40
RMSD,False,0.8043185259776594,4.049609248262377e-10,0.8144465290806755,1.6219076766011259e-10,0.6230769230769232,1.492679341332591e-08,40
TM-score,True,0.18633397374484234,0.24963892288870765,0.1302308148281229,0.4231584920501833,0.09254529293834245,0.40141188877889367,40
lDDT,True,0.7019522893099684,4.4848463416519576e-07,0.6977246262807724,5.621231426247173e-07,0.5389095383160393,1.0425033290978961e-06,40
